pincode,city,tier,localities
201303,noida,1,Sector 37 | Sector 41 | Sector 43 | Sector 44 | Sector 45 | Sector 46 | Sector 47
201304,noida,1,Sector 93 | Sector 100 | Sector 104 | Sector 107 | Sector 108 | Sector 110
201305,noida,1,Sector 135 | Sector 136 | Sector 137 | Sector 140 | Sector 141 | Sector 142
201306,noida,1,Sector 142 | Sector 143 | Sector 144 | Sector 145 | Sector 146 | Sector 147 | Sector 148 | Sector 149 | Sector 150 | Sector 151 | Sector 152 | gaur-city | techzone | surajpur
201310,noida,1,Sector 150 | Sector 152 | alpha | beta | gamma | delta | knowledge-park | pari-chowk | jaypee-greens | kasna
203201,greater-noida,2,
203207,greater-noida,2,Dadri
400001,mumbai,1,Fort
400002,mumbai,1,Kalbadevi
400004,mumbai,1,Girgaon
400005,mumbai,1,Colaba
400006,mumbai,1,Malabar Hill
400007,mumbai,1,Grant Road
400008,mumbai,1,Mumbai Central
400010,mumbai,1,Mazgaon
400012,mumbai,1,Parel
400014,mumbai,1,Dadar
400015,mumbai,1,Sewri
400016,mumbai,1,Mahim
400018,mumbai,1,Worli
400019,mumbai,1,Matunga
400021,mumbai,1,Nariman Point
400022,mumbai,1,Sion
400025,mumbai,1,Prabhadevi
400026,mumbai,1,Cumballa Hill
400028,mumbai,1,Dadar
400031,mumbai,1,Wadala
400034,mumbai,1,Tardeo
400037,mumbai,1,Antop Hill
400049,mumbai,1,Juhu
400050,mumbai,1,Bandra West
400051,mumbai,1,Bandra East
400052,mumbai,1,Khar
400053,mumbai,1,Andheri West
400054,mumbai,1,Santacruz West
400056,mumbai,1,Vile Parle
400058,mumbai,1,Andheri
400059,mumbai,1,Andheri East
400061,mumbai,1,Versova
400063,mumbai,1,Goregaon East
400064,mumbai,1,Malad West
400065,mumbai,1,Goregaon East
400067,mumbai,1,Kandivali West
400068,mumbai,1,Dahisar
400070,mumbai,1,Kurla
400076,mumbai,1,Powai
400078,mumbai,1,Vikhroli
400080,mumbai,1,Mulund
400081,mumbai,1,Mulund East
400083,mumbai,1,Bhandup
400086,mumbai,1,Ghatkopar
400088,mumbai,1,Chembur
400093,mumbai,1,Andheri East
400096,mumbai,1,Jogeshwari East
400097,mumbai,1,Malad East
400101,mumbai,1,Kandivali East
400102,mumbai,1,Jogeshwari West
400104,mumbai,1,Goregaon West
400701,mumbai,1,Vashi
400703,mumbai,1,Nerul
400705,mumbai,1,Sanpada
400706,mumbai,1,Nerul
400708,mumbai,1,Airoli
411001,pune,1,Pune Camp
411004,pune,1,Deccan
411005,pune,1,Shivajinagar
411007,pune,1,Aundh
411008,pune,1,Pune University Area
411011,pune,1,Sadashiv Peth
411013,pune,1,Hadapsar
411014,pune,1,Kharadi
411017,pune,1,Pimpri
411018,pune,1,Pimpri
411019,pune,1,Chinchwad
411021,pune,1,Kothrud
411022,pune,1,Viman Nagar
411023,pune,1,Bavdhan
411024,pune,1,Warje
411027,pune,1,Pimple Saudagar
411028,pune,1,Hadapsar
411030,pune,1,Deccan Gymkhana
411033,pune,1,Chinchwad
411034,pune,1,Pimpri
411036,pune,1,Dhanori
411038,pune,1,Kothrud
411040,pune,1,Wanowrie
411041,pune,1,Kondhwa
411043,pune,1,Bibwewadi
411045,pune,1,Baner
411046,pune,1,Katraj
411047,pune,1,Lohegaon
411048,pune,1,NIBM | Kondhwa
411051,pune,1,Anandnagar
411052,pune,1,Karve Nagar
411057,pune,1,Hinjawadi
411058,pune,1,Wakad
411060,pune,1,Sus
411061,pune,1,Pashan
411062,pune,1,Balewadi
560001,bangalore,1,
560003,bangalore,1,Vasanth Nagar
560004,bangalore,1,Basavanagudi
560005,bangalore,1,Fraser Town
560008,bangalore,1,Indiranagar
560010,bangalore,1,Rajajinagar
560011,bangalore,1,Jayanagar
560016,bangalore,1,Ramamurthy Nagar
560017,bangalore,1,Domlur
560020,bangalore,1,Seshadripuram
560022,bangalore,1,Malleswaram
560025,bangalore,1,Richmond Town
560027,bangalore,1,Wilson Garden
560029,bangalore,1,Koramangala
560030,bangalore,1,Adugodi
560034,bangalore,1,Koramangala
560035,bangalore,1,Sarjapur Road
560037,bangalore,1,Marathahalli
560038,bangalore,1,Indiranagar
560040,bangalore,1,Vijayanagar
560043,bangalore,1,Kalyan Nagar
560045,bangalore,1,Nagawara
560047,bangalore,1,Viveknagar
560048,bangalore,1,Hoodi
560049,bangalore,1,Whitefield
560050,bangalore,1,Banashankari
560053,bangalore,1,Chickpet
560066,bangalore,1,Whitefield
560068,bangalore,1,Bommanahalli
560076,bangalore,1,Bannerghatta Road
560078,bangalore,1,JP Nagar
560083,bangalore,1,Bannerghatta Road
560085,bangalore,1,Banashankari
560095,bangalore,1,Koramangala
560100,bangalore,1,Electronic City
560102,bangalore,1,HSR Layout
560103,bangalore,1,Bellandur
560114,bangalore,1,Begur
575001,mangalore,2,
575002,mangalore,2,Hampankatta
575003,mangalore,2,Kodialbail
575004,mangalore,2,Kadri
575005,mangalore,2,Kottara
575006,mangalore,2,Bejai
575007,mangalore,2,Derebail
575008,mangalore,2,Kulshekar
575009,mangalore,2,Valencia
575010,mangalore,2,Bolar
575011,mangalore,2,Jeppu
575013,mangalore,2,Kankanady
575015,mangalore,2,Attavar
575016,mangalore,2,Urwa
575017,mangalore,2,Kavoor
575018,mangalore,2,Surathkal
575019,mangalore,2,Panambur
575020,mangalore,2,Katipalla
575021,mangalore,2,Ullal
575022,mangalore,2,Konaje
575023,mangalore,2,Mudipu
575025,mangalore,2,Bajpe
575028,mangalore,2,Bondel
575029,mangalore,2,Kulur
575030,mangalore,2,Nantoor
575031,mangalore,2,Pumpwell
575036,mangalore,2,
